FantraxName,FantraxTeam,FantraxPosition,FantraxPlayerId,FangraphsName,FangraphsTeam,FangraphsPosition,FangraphsPlayerId
Jermaine Palacios,(N/A),SS,*03nuu*,,,,
Ethan Petry,(N/A),3B,*05yff*,,,,
Cam Sanders,CHC,P,*04eqd*,,,,
Esmerlin Vinicio,SF,SP,*056j3*,,,,
Anthony Baptist,NYM,OF,*066mj*,,,,
Brody Brecht,(N/A),SP,*05ybz*,,,,
Yunior Garcia,LAD,OF,*04pf6*,,,,
Vimael Machin,PHI,"2B,3B",*03qok*,,,,
Alex McGarry,CIN,1B,*05t63*,,,,
Jaylen Palmer,NYM,SS,*04q4g*,,,,
Davis Schneider,TOR,3B,*04o2x*,,,,
Matt Shaw,(N/A),2B,*063vu*,,,,
Justin Yurchak,LAD,3B,*04elt*,,,,
Anthony Alford,(N/A),OF,*02my8*,,,,
Alexeis Azuaje,PHI,2B,*051wp*,,,,
Andrew Baker,PHI,RP,*051co*,,,,
Matthew Barefoot,HOU,OF,*0514s*,,,,
Wynton Bernard,TOR,OF,*03eq5*,,,,
Ronald Bolanos,MIA,RP,*0436p*,,,,
Carson Coleman,NYY,SP,*061mi*,,,,
Jimmy Crooks,STL,C,*06434*,,,,
Austin Davis,HOU,RP,*03dji*,,,,
Jose De Jesus,TEX,OF,*05ygu*,,,,
Miguel Diaz,DET,RP,*03mkx*,,,,
Dayan Frias,CLE,SS,*05ydh*,,,,
Yosy Galan,TEX,OF,*05t6m*,,,,
Will Holland,MIN,SS,*04y96*,,,,
Brock Jones,ARI,P,*051ci*,,,,
Jose Lopez,TB,RP,*0614f*,,,,
Jason Martin,LAD,OF,*0374g*,,,,
Trevor Martin,TB,SP,*06309*,,,,
Tyler Mattison,DET,SP,*05xom*,,,,
Jose Peraza,NYM,2B,*02y27*,,,,
Diego Rincones,DET,OF,*046ya*,,,,
Tony Ruiz,KC,OF,*066mi*,,,,
Alex Speas,TEX,SP,*041q9*,,,,
Carson Taylor,LAD,C,*05luq*,,,,
Tai Tiedemann,TEX,P,*041uf*,,,,
Eduard Bazardo,BAL,RP,*04mjn*,,,,
Jonathan Bermudez,SF,SP,*04q5u*,,,,
Ben Casparius,LAD,SP,*05y4k*,,,,
Christian Chamberlain,KC,P,*05mrl*,,,,
Steve Cishek,(N/A),RP,*023fv*,,,,
Angel Felipe,SD,RP,*060mo*,,,,
Louis Head,(N/A),RP,*02n8l*,,,,
Carlos Martinez,(N/A),SP,*01uug*,,,,
Tyler Schweitzer,CHW,SP,*065uw*,,,,
Andres Silvera,PIT,SP,*060of*,,,,
Cody Stashak,(N/A),RP,*03qr4*,,,,
Noel Vela,SD,SP,*060um*,,,,
Austin Vernon,TB,SP,*05y4p*,,,,
Will Banfield,MIA,C,*04n1p*,,,,
Juan Chacon,BOS,OF,*05gbh*,,,,
Jelfry Marte,TB,SS,*04bpl*,,,,
Tanner Morris,TOR,SS,*05141*,,,,
Nick Northcut,CIN,3B,*04pvt*,,,,
Dom Nunez,(N/A),C,*03125*,,,,
Elio Prado,BAL,OF,*051wn*,,,,
Caleb Ricketts,PHI,C,*065jf*,,,,
Emmanuel Rodriguez,SD,OF,*05llt*,,,,
Anibal Sanchez,(N/A),SP,*000v3*,,,,
Daniel Vellojin,CIN,C,*05r3o*,,,,
Mike Antico,STL,OF,*05y44*,,,,
Brett Auerbach,SF,C,*05r9x*,,,,
Franklin Barreto,(N/A),2B,*02ni1*,,,,
Micah Bello,MIL,OF,*04pn5*,,,,
Tyler Brown,HOU,P,*05jpg*,,,,
Po-Yu Chen,PIT,RP,*05r3l*,,,,
Jurrangelo Cijntje,MIL,SP,*060m8*,,,,
Omar Cruz,PIT,SP,*04tf0*,,,,
Aaron Davenport,CLE,SP,*05w9t*,,,,
Tanner Dodson,LAD,"OF,P",*04pn2*,,,,
Kevin Ereu,MIL,SS,*066md*,,,,
Alcides Escobar,(N/A),SS,*013ub*,Alcides Escobar,,SS,6310
Aron Estrada,BAL,2B,*0630n*,,,,
Jose Fleury,HOU,SP,*066qg*,,,,
Wander Franco,SF,3B,*02yge*,,,,
Will Frizzell,WSH,1B,*05tc9*,,,,
Michael Helman,MIN,2B,*04pvp*,,,,
Payton Henry,MIL,C,*041sv*,Payton Henry,MIL,C,22164
Blaine Knight,BAL,SP,*04m5p*,,,,
Kyle McCann,OAK,C,*0513b*,,,,
T.J. McFarland,NYM,RP,*02nho*,,,,
Zach Messinger,NYY,SP,*05y71*,,,,
Andrew Moore,CIN,RP,*0603o*,,,,
Riley O'Brien,SEA,SP,*04ej3*,,,,
Dylan O'Rae,MIL,SS,*064nx*,,,,
Robinson Ortiz,LAD,SP,*04mu1*,,,,
Griffin Roberts,STL,SP,*04pmc*,,,,
Alex Scherff,MIN,SP,*04eh7*,,,,
Marcus Smith,OAK,OF,*0512y*,,,,
Ryan Webb,CLE,SP,*05u98*,,,,
Hogan Windish,SEA,2B,*066cd*,,,,
Matt Andriese,LAD,RP,*02bsc*,,,,
Ryan Costeiu,LAA,SP,*05yb3*,,,,
Angel De Jesus,DET,RP,*059zq*,,,,
Chris Ellis,(N/A),SP,*03dab*,,,,
Nate Fisher,NYM,RP,*0642k*,,,,
Tanner Gordon,ATL,P,*05152*,,,,
Kevin Gowdy,TEX,SP,*041q3*,,,,
Jackson Humphries,CLE,SP,*0648g*,,,,
William Kempner,SF,SP,*06308*,,,,
Will Klein,KC,P,*05jrv*,,,,
Henry LaLane,NYY,SP,*05ym5*,,,,
Christian Little,(N/A),SP,*05mlv*,,,,
Victor Mederos,LAA,SP,*05jrb*,,,,
Ben Peoples,TB,P,*051h5*,,,,
Tyler Stuart,NYM,SP,*0648p*,,,,
Donovan Walton,SF,2B,*03qyb*,,,,
Patrick Weigel,SEA,RP,*03dty*,,,,
Fran Alduey,CLE,SS,*05rcu*,,,,
Bryce Bush,CHW,3B,*04tly*,,,,
Cole Cummings,SD,"1B,3B",*05y0n*,,,,
Anderson De Los Santos,BAL,SS,*05uxv*,,,,
Jasiah Dixon,PIT,OF,*051hw*,,,,
Ethan Hearn,CHC,C,*05154*,,,,
Andrew Knapp,SF,C,*03119*,,,,
Guy Lipscomb Jr.,CLE,OF,*064nd*,,,,
Eduardo Lopez,BOS,OF,*04yd9*,,,,
Luis Rodriguez,LAD,3B,*05oz2*,,,,
Luis Rodriguez,STL,C,*05yih*,,,,
T.J. Rumfield,NYY,3B,*05yb0*,,,,
Adrian Sugastey,SF,C,*05j8l*,,,,
Zach Watson,BAL,OF,*04yil*,,,,
Jose Alvarez,DET,RP,*021hr*,,,,
Ben Bowden,PHI,RP,*041px*,,,,
Kyle Brnovich,BAL,P,*05162*,,,,
Robinson Cano,(N/A),2B,*00068*,,,,
Jharel Cotton,(N/A),RP,*02na8*,,,,
Stiven Cruz,MIL,SP,*05y3g*,,,,
Alex Dickerson,(N/A),OF,*0260x*,,,,
Mike Foltynewicz,(N/A),SP,*0241u*,,,,
Shane Greene,NYY,RP,*02hds*,,,,
Sean Hermann,NYY,SP,*061zi*,,,,
Alex Isola,MIN,C,*060oz*,,,,
Jorge Juan,OAK,SP,*05ueo*,,,,
Tony Locey,TB,SP,*0512g*,,,,
Dylan MacLean,TEX,P,*05mrk*,,,,
Rafael Ohashi,TOR,SP,*05svl*,,,,
Tyler Phillips,PHI,SP,*03qt6*,,,,
Cornelius Randolph,(N/A),OF,*03piy*,,,,
Jeremy Rodriguez,ARI,SS,*066o8*,,,,
Kenny Rosenberg,LAA,RP,*0429i*,,,,
Adam Shoemaker,ATL,SP,*05y4r*,,,,
Kohl Simas,CHW,SP,*060wb*,,,,
Dan Straily,(N/A),RP,*01uut*,,,,
Sean Sullivan,PIT,SP,*05y41*,,,,
Shohei Tomioka,OAK,RP,*05ilr*,,,,
Jordany Ventura,NYM,SP,*05gbx*,,,,
Logan Workman,TB,SP,*05y3y*,,,,
Andy Abad,MIL,1B,*0154j*,,,,
Dom Abbadessa,TOR,OF,*0425u*,,,,
Steven Brault,(N/A),RP,*031d7*,,,,
Kristian Cardozo,SEA,RP,*055cd*,,,,
Tyler Collins,ATL,OF,*05wdo*,,,,
Derian Cruz,ATL,2B,*03pzp*,,,,
Leodalis De Vries,(N/A),SS,*067yc*,,,,
Ricardo Genoves,SF,C,*043cc*,,,,
Brian Goodwin,CHW,OF,*02615*,,,,
Deolis Guerra,(N/A),RP,*01sc0*,,,,
Michael Guldberg,OAK,OF,*05mrd*,,,,
Jandel Gustave,ARI,RP,*031nm*,,,,
Dalton Kelly,OAK,1B,*0412z*,,,,
Victor Labrada,SEA,OF,*05t6h*,,,,
Ethan Lindow,PHI,P,*04egu*,,,,
Chris Mazza,SEA,RP,*051z4*,,,,
Alex McKenna,HOU,OF,*04pq1*,,,,
Joe Palumbo,(N/A),RP,*03mf6*,,,,
Jose Pena,TB,OF,*05gdl*,,,,
Sean Poppen,SD,RP,*0422f*,,,,
Carlos Rincon,NYM,OF,*04577*,,,,
Juan Rojas,BAL,SP,*0633j*,,,,
Jonathan Stroman,ARI,P,*051gq*,,,,
Sam Abbott,CHW,1B,*04ej7*,,,,
Victor Acosta,BOS,3B,*03bu3*,,,,
Dairon Blanco,KC,OF,*04mkt*,,,,
Chris Campos,LAD,SP,*064wh*,,,,
Omar De Los Santos,NYM,OF,*061i0*,,,,
Logan Driscoll,TB,C,*0512b*,,,,
Ryan Fitzgerald,BOS,SS,*05uo0*,,,,
Carson Fulmer,LAA,RP,*02n67*,,,,
Mateo Gil,COL,SS,*04nx4*,,,,
Zack Hess,DET,SP,*04t9a*,,,,
Lamar King,SD,C,*0647r*,,,,
Gabriel Maciel,MIN,OF,*04ams*,,,,
Raymond Mola,PIT,OF,*066mm*,,,,
Jose Pastrano,CLE,SS,*056j4*,,,,
Esteban Quiroz,PHI,2B,*04m7n*,,,,
Baron Radcliff,PHI,"1B,OF",*05lg5*,,,,
Tyreque Reed,BOS,1B,*04ejh*,,,,
Jesus Rodriguez,NYY,C,*052h8*,,,,
Luis Rodriguez,NYM,SP,*05zd5*,,,,
Christin Stewart,BOS,OF,*03pjk*,,,,
Alexander Suarez,SF,OF,*05rh8*,,,,
Justin Upton,(N/A),OF,*0001p*,,,,
Jake Wong,CIN,SP,*04ppp*,,,,
Austin Bergner,DET,P,*0410p*,,,,
Ben Brecht,TB,P,*0513t*,,,,
Leandro Cedeno,(N/A),1B,*04gge*,,,,
Eric Cerantola,KC,SP,*05r1e*,,,,
Efrain Contreras,SD,SP,*04yl7*,,,,
Kyle Crick,(N/A),RP,*02bqp*,,,,
Yovanny Cruz,CHC,SP,*04w0m*,,,,
Mason Erla,LAA,SP,*05jqq*,,,,
Manuel Espinoza,CHC,SP,*05tjl*,,,,
Julian Fernandez,TOR,RP,*04ana*,,,,
Jace Fry,DET,RP,*02bx2*,,,,
Gary Gill Hill,TB,SP,*064o6*,,,,
Conor Grammes,ARI,P,*05140*,,,,
Brenan Hanifee,BAL,SP,*041rq*,,,,
Gavin Hollowell,COL,RP,*0514j*,,,,
Steven Jennings,PIT,SP,*04ees*,,,,
Keone Kela,ARI,RP,*02n4l*,,,,
Owen Kellington,PIT,SP,*05xot*,,,,
Ben Leeper,CHC,RP,*05u1w*,,,,
Michael McAvene,CHC,P,*0512h*,,,,
Michael Mullinax,(N/A),OF,*05y9b*,,,,
Tyler Owens,ATL,P,*051a6*,,,,
DJ Peters,(N/A),OF,*041rb*,,,,
Alan Rangel,(N/A),RP,*04otv*,,,,
Jacob Watters,OAK,RP,*0647n*,,,,
William Woods,NYM,RP,*04q5a*,,,,
Ryan Zeferjahn,BOS,P,*04y9f*,,,,
Stiven Acevedo,BAL,OF,*051m5*,,,,
Brady Aiken,(N/A),SP,*03b0p*,,,,
Zion Bannister,TEX,OF,*05ajd*,,,,
Alexander Campos,OAK,SS,*04b3m*,,,,
Pedro Castellanos,BOS,1B,*04aj9*,,,,
Bartolo Colon,(N/A),SP,*000j7*,,,,
Fraymi De Leon,BOS,SS,*05yif*,,,,
Michael Gigliotti,SF,OF,*04eg1*,,,,
Douglas Glod,ATL,OF,*060pf*,,,,
Phil Gosselin,LAA,OF,*01uwe*,,,,
Yerlin Luis,CLE,OF,*066mb*,,,,
Nick Margevicius,(N/A),RP,*04eie*,,,,
Richie Martin,WSH,"2B,SS",*03pj6*,,,,
Carson Montgomery,(N/A),SP,*05gws*,,,,
Jesus Parra,MIL,3B,*04z98*,,,,
Carlos Silva,MIN,C,*066mh*,,,,
Justin Wilson,MIL,RP,*025ko*,,,,
Enger Castellano,NYY,3B,*05gdi*,,,,
Luis Castillo,DET,RP,*05yoe*,,,,
Hayden Dunhurst,KC,C,*05ra1*,,,,
Danny Diaz,(N/A),3B,*04fhc*,,,,
Jefferson Figueroa,MIL,SP,*05uvf*,,,,
Tres Gonzalez,PIT,OF,*0648x*,,,,
Jeison Guzman,ARI,SS,*03xs6*,,,,
Ryan Hendrix,ARI,SP,*031ev*,,,,
Guillermo Heredia,ATL,OF,*03mlu*,,,,
Daysbel Hernandez,ATL,"OF,P",*051z5*,,,,
Grant Holman,OAK,SP,*05xpw*,,,,
William Holmes,LAA,"OF,P",*04pr9*,,,,
Bailey Horn,CHC,RP,*05mrs*,,,,
Sam Howard,DET,RP,*03dad*,,,,
Connor Jones,STL,SP,*03762*,,,,
Spencer Jones,TB,P,*041vr*,,,,
Matt Koperniak,STL,OF,*05wb2*,,,,
Christian MacLeod,MIN,SP,*05rek*,,,,
Chris McElvain,CIN,SP,*05zy8*,,,,
Drew Millas,WSH,C,*0515f*,,,,
Micah Ottenbreit,PHI,SP,*05unj*,,,,
Alex Ramirez,SD,C,*057p4*,,,,
Erik Rivera,LAA,"OF,P",*0513h*,,,,
Ben Ross,MIN,SS,*06658*,,,,
Will Rudy,MIL,SP,*0664z*,,,,
Jesus Sanchez,MIL,SP,*01urq*,,,,
Adam Seminaris,MIL,SP,*05jr6*,,,,
Armando Sierra,BOS,OF,*060ph*,,,,
Junior Tilien,NYM,SS,*05j6x*,,,,
Phillips Valdez,COL,RP,*040bu*,,,,
Peyton Williams,TOR,1B,*064i9*,,,,
Ryan Bergert,SD,SP,*05xpo*,,,,
Vinny Capra,PIT,SS,*04q26*,,,,
Jose Cruz,SF,SP,*066n8*,,,,
Bryce Eldridge,(N/A),SP,*05u96*,,,,
Joey Gerber,NYY,RP,*04pta*,,,,
Tyler Jay,MIN,RP,*03n6f*,,,,
MD Johnson,MIA,P,*0514w*,,,,
Mauricio Llovera,SF,RP,*04aza*,,,,
Shed Long Jr.,(N/A),OF,*03139*,,,,
Daniel Mengden,KC,SP,*03dav*,,,,
Spencer Miles,SF,SP,*064no*,,,,
Koen Moreno,CHC,P,*05jqn*,,,,
Christian Scott,NYM,RP,*05xpq*,,,,
Mallex Smith,(N/A),OF,*02c0a*,,,,
Trenton Wallace,TOR,SP,*05yfx*,,,,
Tetsuto Yamada,(N/A),2B,*03yvt*,,,,
Ricardo Yan,ARI,SP,*066sv*,,,,
Kyle Zimmer,(N/A),RP,*02i2i*,,,,
Austin Adams,(N/A),RP,*02h8x*,Austin Adams,ARI,RP,13801
Matthew Batten,SD,2B,*052im*,,,,
James Beard,CHW,OF,*0513d*,,,,
Luis Bolivar,SEA,OF,*05rhc*,,,,
Wilmin Candelario,KC,SS,*04nau*,,,,
Jayce Easley,TEX,"2B,SS",*04prf*,,,,
Darling Fernandez,OAK,OF,*066m8*,,,,
Casey Gillaspie,CHW,1B,*03d3d*,,,,
Martin Gonzalez,SEA,SS,*05yip*,,,,
Anthony Gose,(N/A),RP,*01sha*,,,,
Starling Heredia,LAD,OF,*03o2w*,,,,
Glenallen Hill Jr.,ARI,"2B,SS",*0513i*,,,,
Greg Holland,(N/A),RP,*01xfu*,,,,
Kevin Kendall,NYM,"2B,SS,OF",*05xsu*,,,,
Rafael Lantigua,TOR,2B,*060fw*,,,,
Gilbert Lara,WSH,SS,*03dmq*,,,,
Hirokazu Sawamura,(N/A),RP,*05rbx*,,,,
Engelth Urena,NYY,C,*066re*,,,,
Mac Wainwright,CIN,OF,*05mro*,,,,
Jake Agnos,NYY,P,*04ymo*,,,,
Gabriel Agostini,WSH,SP,*05rhq*,,,,
Yhoangel Aponte,TOR,OF,*05rgp*,,,,
Justin Armbruester,BAL,SP,*05yo1*,,,,
Javier Atencio,NYM,SP,*060mg*,,,,
Tres Barrera,STL,C,*041sn*,Tres Barrera,STL,C,19977
Gregory Barrios,MIL,SS,*05rbt*,,,,
Jase Bowen,PIT,OF,*0518m*,,,,
Oscar De La Cruz,NYM,SP,*03rx3*,,,,
Mason Fluharty,TOR,SP,*0648y*,,,,
Arquimedes Gamboa,(N/A),SS,*03ml3*,,,,
Kelvin Gutierrez,(N/A),3B,*03nud*,,,,
Jacob Heatherly,CIN,SP,*04efp*,,,,
C.J. Hinojosa,MIA,SS,*02j36*,,,,
Ryan Jennings,TOR,SP,*064nw*,,,,
Tyler Johnson,CHW,SP,*04gdx*,,,,
Thomas Jones,MIA,OF,*041qy*,,,,
Marwys Jorge,KC,SP,*066m1*,,,,
Baek-ho Kang,(N/A),1B,*05m6j*,,,,
Mikell Manzano,SF,P,*05uwh*,,,,
Daniel Marte,WSH,OF,*05h7h*,,,,
Gunner Mayer,PHI,P,*0514a*,,,,
Mason McCoy,SEA,SS,*04ehx*,,,,
Jordarlin Mendoza,NYY,SP,*062l4*,,,,
Brennan Milone,OAK,3B,*064wi*,,,,
Blake Mitchell,(N/A),"C,3B",*05y3q*,,,,
Andrew Pintar,ARI,2B,*0648a*,,,,
Ronny Polanco,ARI,3B,*05g4c*,,,,
Logan Porter,KC,C,*05j94*,,,,
Will Robertson,TOR,OF,*04y9g*,,,,
Anthony Rodriguez,SF,SS,*05gdt*,,,,
Dustin Saenz,WSH,RP,*05y5q*,,,,
Johnfrank Salazar,BOS,SS,*05unx*,,,,
Phoenix Sanders,SF,SP,*04ekh*,,,,
Jayson Schroeder,HOU,SP,*04pmy*,,,,
Noah Skirrow,PHI,SP,*05ogv*,,,,
Edwin Solano,WSH,SS,*066m3*,,,,
Charlee Soto,(N/A),3B,*05zq5*,,,,
Kyle Teel,(N/A),"C,OF",*05wxy*,,,,
Reid VanScoter,SEA,SP,*064wg*,,,,
Case Williams,COL,SP,*05mrn*,,,,
Donta' Williams,BAL,OF,*05xof*,,,,
Tyler Woessner,MIL,SP,*0642n*,,,,
Tyler Zuber,ARI,RP,*04ehi*,,,,
Chance Adams,(N/A),RP,*03qle*,,,,
Kohei Arihara,(N/A),SP,*05gdd*,,,,
Bradley Blalock,BOS,SP,*0579z*,,,,
Victor Castaneda,TB,SP,*05ai6*,,,,
Alexander Cornielle,MIL,SP,*0622r*,,,,
Dylan DeLucia,CLE,SP,*06494*,,,,
Ricky DeVito,TEX,SP,*05163*,,,,
Garrett Gayle,HOU,P,*0518w*,,,,
Myles Gayman,CIN,SP,*05xzz*,,,,
Zach Haake,KC,P,*04ps0*,,,,
Jeff Hakanson,TB,P,*05lg6*,,,,
Jared Karros,LAD,SP,*05ybt*,,,,
Michael Kelly,CLE,SP,*02bqn*,Michael Kelly,CLE,RP,12791
Kyle Luckham,WSH,SP,*065v7*,,,,
Travis MacGregor,PIT,SP,*041qc*,,,,
Andrew Morris,MIN,SP,*0648r*,,,,
Blake Rivera,SF,P,*04pq8*,,,,
Franklin Sanchez,MIA,SP,*066pj*,,,,
Evan Sisk,KC,SP,*04pzi*,,,,
Carson Spiers,CIN,RP,*05r3k*,,,,
Cesar Valdez,LAA,RP,*01u9l*,,,,
Connor Van Scoyoc,LAA,P,*04pvn*,,,,
Emilio Vargas,CHW,SP,*03ztr*,,,,
Avery Weems,TEX,SP,*0514v*,,,,
Albert Almora Jr.,(N/A),OF,*02i2o*,,,,
Donovan Antonia,CIN,2B,*060p3*,,,,
Miguel Aparicio,TEX,OF,*03ym4*,,,,
J.T. Arruda,WSH,SS,*0518l*,,,,
Franyel Baez,ARI,OF,*05ajc*,,,,
Manuel Cabrera,WSH,SS,*066m9*,,,,
Lorenzo Cain,(N/A),OF,*01c5f*,,,,
Noah Campbell,MIL,"2B,SS",*04er6*,,,,
Lorenzo Cedrola,NYM,OF,*03ytg*,,,,
Gavin Conticello,ARI,3B,*05xq6*,,,,
Narciso Crook,BOS,OF,*03153*,,,,
Ronnie Dawson,CIN,OF,*041pw*,,,,
Samil De La Rosa,STL,3B,*05t5l*,,,,
Filippo Di Turri,MIL,SS,*066mf*,,,,
Evan Edwards,TB,1B,*0513e*,,,,
Larry Ernesto,MIL,OF,*04fhd*,,,,
Tucker Flint,LAA,1B,*066bv*,,,,
Yemal Flores,PHI,SS,*05rcv*,,,,
Casey Golden,COL,OF,*04erv*,,,,
Erik Gonzalez,CHW,"3B,SS",*03bnk*,Erik Gonzalez,CHW,1B/2B/3B/SS,13369
Ruben Ibarra,CIN,1B,*05was*,,,,
Brandon Lockridge,NYY,OF,*04prc*,,,,
Felix Morrobel,LAA,SS,*066o7*,,,,
Tanner Murray,TB,SS,*05jrs*,,,,
Ricardo Olivar,MIN,C,*06437*,,,,
Casey Opitz,CLE,C,*05jpj*,,,,
Fabian Pertuz,CHC,SS,*04o0b*,,,,
Beau Philip,ATL,SS,*05125*,,,,
Roberto Ramos,BOS,1B,*03vlp*,,,,
Daniel Robertson,ATL,3B,*02oqn*,,,,
Julio Rodriguez,DET,C,*021xu*,,,,
Patrick Romeri,STL,OF,*0519d*,,,,
Austin Romine,(N/A),C,*01cgn*,,,,
Dangelo Sarmiento,NYM,SS,*0620y*,,,,
Carter Stewart,(N/A),P,*04n0n*,,,,
Jamie Westbrook,NYY,2B,*0345w*,,,,
Ross Adolph,HOU,OF,*04pwa*,,,,
Carlos Aguiar,MIN,OF,*04mkq*,,,,
Carter Aldrete,SF,"1B,2B",*051b7*,,,,
Sean Boyle,NYY,P,*04q78*,,,,
Andy Burns,LAD,3B,*02byz*,,,,
Christian Cairo,CLE,SS,*0513m*,,,,
Yorlin Calderon,NYY,SP,*061lp*,,,,
Sergio Campana,PIT,OF,*04ym5*,,,,
Ross Carver,ARI,RP,*061bm*,,,,
Derek Diamond,PIT,SP,*06495*,,,,
Wilmer Difo,NYY,SS,*03c7r*,,,,
Thomas Dillard,MIL,OF,*04y9n*,,,,
Tyler Dyson,WSH,"SS,P",*04nh3*,,,,
Colton Eastman,PHI,P,*03qw4*,,,,
Roenis Elias,CHC,RP,*02zl7*,,,,
Nixon Encarnacion,LAA,SP,*064w7*,,,,
Thomas Farr,CIN,SP,*05xpx*,,,,
Derek Fisher,MIN,OF,*026m5*,,,,
Santiago Florez,PIT,SP,*04z8l*,,,,
Braxton Fulford,COL,C,*05yc9*,,,,
Grant Gambrell,BOS,SP,*0512n*,,,,
Jackson Glenn,PIT,3B,*05uvc*,,,,
Bryan Gonzalez,BOS,OF,*050yj*,,,,
Jaxx Groshans,BOS,C,*04zo1*,,,,
Will Harris,(N/A),RP,*02t1d*,,,,
Aaron Hernandez,LAA,SP,*04ppv*,,,,
Nolan Hoffman,SEA,P,*04pr7*,,,,
Jonathan Holder,LAA,RP,*03dex*,,,,
Carlos Jimenez,PIT,SP,*050yo*,,,,
Enrique Jimenez,DET,C,*066mg*,,,,
Kasey Kalich,KC,SP,*0513k*,,,,
Kevin Kilpatrick Jr.,ATL,OF,*066di*,,,,
Nathan Lavender,NYM,SP,*05ydc*,,,,
Maximo Martinez,LAD,SP,*061a5*,,,,
Orlando Martinez,LAA,OF,*04qnf*,,,,
Yohander Martinez,HOU,SS,*057ah*,,,,
Sean McLain,LAD,SS,*05yax*,,,,
Cody Milligan,ATL,2B,*05171*,,,,
Braylin Minier,CIN,SS,*057p1*,,,,
Hans Montero,NYY,SS,*05r5l*,,,,
Sean Mooney,MIN,P,*0518u*,,,,
Yohanse Morel,TEX,SP,*04qng*,,,,
Noah Murdock,KC,P,*0515a*,,,,
Kyle Nevin,LAD,1B,*064nl*,,,,
Scott Oberg,(N/A),RP,*02n6c*,,,,
Maikol Orozco,DET,SS,*066m5*,,,,
J.D. Orr,MIA,OF,*0517f*,,,,
Bryce Osmond,LAA,SP,*051jq*,,,,
Brayan Perez,SEA,RP,*04ywz*,,,,
Jose Peroza,NYM,3B,*04n96*,,,,
Levi Prater,STL,P,*05jqf*,,,,
Noe Ramirez,(N/A),RP,*02bsm*,,,,
Jackson Rees,TOR,SP,*04y7y*,,,,
Sean Reynolds,MIA,"1B,P",*041rm*,,,,
Jeremy Rivas,STL,SS,*05iyh*,,,,
Domingo Robles,ATL,SP,*03yri*,,,,
Max Schuh,BAL,P,*03dg0*,,,,
Sam Selman,OAK,RP,*02hd2*,,,,
Sterling Sharp,BOS,SP,*0424b*,,,,
Liam Simon,SF,SP,*0648h*,,,,
Chance Sisco,(N/A),C,*03117*,,,,
Yoffry Solano,MIA,SS,*05yj6*,,,,
Jared Solomon,CIN,RP,*04el5*,,,,
Dee Strange-Gordon,(N/A),2B,*01s9j*,,,,
Jared Walker,LAD,3B,*03dep*,,,,
Josh Walker,BAL,P,*03dtn*,,,,
Dailoui Abad,LAD,RP,*05r6h*,,,,
Jason Adams,KC,RP,*01vj9*,,,,
Eric Adler,CHW,RP,*06483*,,,,
Henry Baez,SD,RP,*05iyp*,,,,
Tyler Clippard,(N/A),RP,*000yu*,,,,
Pierce Coppola,(N/A),SP,*05tdf*,,,,
Noah Dean,BOS,SP,*0648u*,,,,
Andrew Dutkanych,(N/A),SP,*05tp8*,,,,
Matt Esparza,CLE,P,*03qrv*,,,,
Jake Faria,BOS,RP,*02by3*,,,,
Sawyer Gipson-Long,DET,P,*0514z*,,,,
Luiz Gohara,(N/A),SP,*02u81*,,,,
Kenya Huggins,CIN,SP,*0647q*,,,,
Adam Kolarek,LAD,RP,*02hky*,,,,
Cade Kuehler,(N/A),SP,*062yq*,,,,
Anthony Maldonado,MIA,P,*0518d*,,,,
Nolan Martinez,NYY,P,*041r3*,,,,
Norge Ruiz,OAK,RP,*03p9u*,,,,
Garrett Stallings,BAL,RP,*05142*,,,,
J.B. Wendelken,(N/A),RP,*02n4q*,,,,
Jeremy Wu-Yelland,BOS,P,*05mri*,,,,
Alex Abbott,LAA,OF,*03df8*,,,,
Pablo Aldonis,WSH,SP,*05geb*,,,,
Silas Ardoin,BAL,C,*0647o*,,,,
Jordy Barley,WSH,SS,*04aze*,,,,
Justice Bigbie,DET,3B,*05ylo*,,,,
JoJo Blackmon,TEX,OF,*05y4s*,,,,
Diowill Burgos,STL,OF,*04sxs*,,,,
Marcos Cabrera,NYY,SS,*0510e*,,,,
Estanli Castillo,TB,OF,*04lel*,,,,
Neyfy Castillo,ARI,SS,*04o38*,,,,
Allan Castro,BOS,OF,*061yp*,,,,
Edwar Colina,TEX,SP,*04o63*,,,,
Matthew Crim,ATL,SP,*01yqi*,,,,
Brad Cumbest,COL,OF,*064o1*,,,,
Yoniel Curet,TB,SP,*05uec*,,,,
Omari Daniel,MIN,SS,*064nh*,,,,
Robert Dugger,TEX,SP,*0421i*,,,,
Aramis Garcia,PHI,C,*02c6c*,,,,
Wilkerman Garcia,NYY,SS,*03mkj*,,,,
Michael Gettys,(N/A),OF,*03bwi*,,,,
Ryley Gilliam,NYM,SP,*04pqz*,,,,
Seth Gray,MIN,3B,*05136*,,,,
Josh Green,ARI,SP,*04py0*,,,,
Ronaldo Guzman,CHW,SP,*056j8*,,,,
Rohan Handa,SF,SP,*05xpt*,,,,
Alex Iadisernia,STL,OF,*06697*,,,,
Ibandel Isabel,LAA,1B,*03auu*,,,,
Victor Izturis,CLE,C,*05yic*,,,,
Wil Jensen,SF,SP,*05ogs*,,,,
Tanner Kohlhepp,DET,SP,*05y4i*,,,,
James McArthur,KC,SP,*04pw3*,,,,
Brennon McNair,KC,SS,*05y0v*,,,,
